set,filename,class,xmin,ymin,ec1,ec2,xmax,ymax,ec3,ec4
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0213_preproc.jpg,pollen,0.63671875,0.5291666666666667,,,0.72109375,0.6402777777777777,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0214_preproc.jpg,pollen,0.64375,0.5263888888888889,,,0.71875,0.625,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0370_preproc.jpg,pollen,0.48046875,0.45,,,0.55703125,0.5722222222222222,,
VALIDATION,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0384_preproc.jpg,pollen,0.6359375,0.4805555555555556,,,0.71484375,0.5958333333333333,,
TEST,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0504_preproc.jpg,pollen,0.49453125,0.4597222222222222,,,0.578125,0.5638888888888889,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0549_preproc.jpg,pollen,0.45703125,0.3944444444444444,,,0.5140625,0.4986111111111111,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0550_preproc.jpg,pollen,0.4546875,0.3861111111111111,,,0.51640625,0.4916666666666666,,
TEST,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0815_preproc.jpg,pollen,0.29609375,0.3388888888888889,,,0.3578125,0.4430555555555555,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0816_preproc.jpg,pollen,0.29609375,0.3402777777777778,,,0.36640625,0.4430555555555555,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0886_preproc.jpg,pollen,0.48359375,0.4569444444444444,,,0.56484375,0.5513888888888889,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img0899_preproc.jpg,pollen,0.31640625,0.3416666666666667,,,0.3875,0.44027777777777777,,
TRAINING,/content/gdrive/MyDrive/Pesquisa/Artigo Imagens/data/images_preproc/vid01_img1033_preproc.jpg,pollen,0.428125,0.6819444444444445,,,0.51171875,0.8458333333333333,,
